id,observed_on,latitude,longitude,scientific_name
44761151,01/05/2020,52.16283284,-2.719448247,Muntiacus reevesi
44761175,02/05/2020,52.05623789,-2.648990922,Muntiacus reevesi
44870431,03/05/2020,51.93467319,0.599439148,Muntiacus reevesi
44878415,02/05/2020,51.59058045,-2.363136681,Muntiacus reevesi
44879666,04/05/2020,52.0860259,-2.578912606,Muntiacus reevesi
44905333,04/05/2020,52.19358333,0.1232805,Muntiacus reevesi
45296748,08/05/2020,51.82185333,-0.24033833,Muntiacus reevesi
45351026,04/05/2020,52.16961699,-2.679810669,Muntiacus reevesi
45351031,06/05/2020,52.16744812,-2.668765546,Muntiacus reevesi
45351037,07/05/2020,52.17760171,-2.605228464,Muntiacus reevesi
45351038,08/05/2020,52.09833349,-2.738709302,Muntiacus reevesi
45580076,09/05/2020,51.557009,-0.580559,Muntiacus reevesi
45670131,09/05/2020,51.58578604,-2.370261422,Muntiacus reevesi
45875416,14/05/2020,51.74573271,-1.174694225,Muntiacus reevesi
46359553,16/05/2020,51.99766831,-0.487462114,Muntiacus reevesi
46416449,18/05/2020,51.27847167,-1.0623445,Muntiacus reevesi
46830275,21/05/2020,52.10518565,-2.594680641,Muntiacus reevesi
47647978,28/05/2020,52.63959833,1.311411667,Muntiacus reevesi
47791529,07/05/2020,52.93129533,0.489381105,Muntiacus reevesi
47835223,30/05/2020,52.26233953,-0.792307296,Muntiacus reevesi
48209382,02/06/2020,51.89410618,-1.128394924,Muntiacus reevesi
48210266,02/06/2020,51.8948577,-1.129411694,Muntiacus reevesi
48247649,02/06/2020,51.72882181,-0.802010462,Muntiacus reevesi
48270975,02/06/2020,52.56099337,-2.121154591,Muntiacus reevesi
48324158,03/06/2020,52.17904289,-2.506224725,Muntiacus reevesi
48518921,12/03/2020,52.11753771,-1.763875634,Muntiacus reevesi
48607264,22/02/2019,51.87330394,-0.57975748,Muntiacus reevesi
48649354,24/06/2017,51.88968271,-0.574455746,Muntiacus reevesi
48860222,28/05/2020,51.87878286,0.939545296,Muntiacus reevesi
48918191,08/06/2020,51.57912122,-0.701601841,Muntiacus reevesi
49062374,09/06/2020,51.72910333,-0.81510333,Muntiacus reevesi
49246451,08/02/2020,51.7088935,-2.262655257,Muntiacus reevesi
49458349,13/06/2020,51.62078833,-1.1135,Muntiacus reevesi
49690033,15/06/2020,52.30336312,0.264221728,Muntiacus reevesi
49759541,13/06/2020,51.28771099,-1.992787365,Muntiacus reevesi
50068870,12/02/2018,51.93798,0.581495,Muntiacus reevesi
50159583,19/09/2019,52.7391138,1.5796239,Muntiacus reevesi
50298981,17/06/2020,52.15082593,-2.660462725,Muntiacus reevesi
50789160,24/06/2020,51.62240816,0.533431599,Muntiacus reevesi
50892600,26/05/2020,51.87360177,0.560711771,Muntiacus reevesi
50995439,26/06/2020,52.14702447,-2.517712527,Muntiacus reevesi
51510759,30/06/2020,52.24902167,-0.1245195,Muntiacus reevesi
51513181,30/06/2020,51.999326,-0.987645,Muntiacus reevesi
51723778,02/07/2020,52.640375,1.311826667,Muntiacus reevesi
51815125,01/07/2020,52.13484238,-2.521603446,Muntiacus reevesi
51907267,30/06/2020,53.15143157,0.222582121,Muntiacus reevesi
52354405,30/08/2019,52.1936381,0.130285279,Muntiacus reevesi
52451245,20/06/2019,52.52517465,0.836372866,Muntiacus reevesi
52796268,12/07/2020,51.8780723,0.353351588,Muntiacus reevesi
53056388,24/02/2020,52.205337,0.121817,Muntiacus reevesi
53071360,10/04/2020,52.199688,0.107853,Muntiacus reevesi
53174329,14/07/2020,52.03875368,-1.871593674,Muntiacus reevesi
53255852,06/07/2020,51.59345585,0.643876344,Muntiacus reevesi
53399725,17/07/2020,52.64097635,1.312474465,Muntiacus reevesi
53618817,18/07/2020,51.556955,-0.580576,Muntiacus reevesi
54437112,10/04/2018,52.82330481,0.47945117,Muntiacus reevesi
55080796,31/07/2020,53.30769438,0.113634879,Muntiacus reevesi
55797007,01/09/2017,51.49256888,-2.552110698,Muntiacus reevesi
56509712,15/08/2020,52.52601535,-1.686843596,Muntiacus reevesi
56562488,15/08/2020,52.74327502,1.600139132,Muntiacus reevesi
56752705,17/08/2020,52.47206667,-1.883577778,Muntiacus reevesi
56858787,18/08/2020,51.86527778,-0.537499934,Muntiacus reevesi
57063116,20/08/2020,52.59938381,1.263067065,Muntiacus reevesi
57526609,25/08/2020,51.75088546,-0.170083124,Muntiacus reevesi
57579866,25/08/2020,52.38970521,0.64869951,Muntiacus reevesi
57828863,28/08/2020,52.3904952,0.648306429,Muntiacus reevesi
58347532,02/09/2020,52.64604277,1.307425061,Muntiacus reevesi
58487656,30/08/2020,51.90788622,0.563732307,Muntiacus reevesi
58626560,05/09/2020,52.60271948,1.274637669,Muntiacus reevesi
59205766,11/09/2020,53.402387,0.2066495,Muntiacus reevesi
59248075,11/09/2020,51.72062,-0.61978333,Muntiacus reevesi
59601071,14/09/2020,52.63894348,1.311679067,Muntiacus reevesi
59799587,16/09/2020,52.60004438,1.259752213,Muntiacus reevesi
60423763,22/09/2020,52.24682222,1.620763889,Muntiacus reevesi
61102790,23/09/2020,52.77353734,1.569553541,Muntiacus reevesi
61943963,07/10/2020,52.16118333,0.18287167,Muntiacus reevesi
62014215,06/10/2020,52.11327229,-2.598568091,Muntiacus reevesi
62100591,01/09/2020,51.7710841,-1.2050697,Muntiacus reevesi
62859092,16/06/2015,51.99479988,-0.989015289,Muntiacus reevesi
63050911,18/10/2020,52.24929486,-0.109119568,Muntiacus reevesi
63164711,06/05/2020,51.89424238,-2.452173992,Muntiacus reevesi
63720667,04/02/2017,51.8094861,-1.1747498,Muntiacus reevesi
63823228,30/10/2020,51.39896652,-0.67550427,Muntiacus reevesi
64114249,03/11/2020,52.51987076,-1.651287556,Muntiacus reevesi
64167851,04/11/2020,51.42634188,-0.569574326,Muntiacus reevesi
64302634,19/06/2016,51.82822615,-1.133335415,Muntiacus reevesi
64695260,10/11/2020,51.79379774,-1.344529191,Muntiacus reevesi
64695261,10/11/2020,51.79380039,-1.344527005,Muntiacus reevesi
64695262,10/11/2020,51.79380254,-1.344532617,Muntiacus reevesi
64695263,10/11/2020,51.79380279,-1.344535001,Muntiacus reevesi
64695265,10/11/2020,51.79380374,-1.344529488,Muntiacus reevesi
64796397,13/11/2020,52.22432001,-0.541142039,Muntiacus reevesi
64920111,14/11/2020,51.79368031,-1.34469093,Muntiacus reevesi
65031597,16/11/2020,51.76071299,-1.247890646,Muntiacus reevesi
65071880,17/11/2020,51.67668307,-1.412172318,Muntiacus reevesi
65139339,18/11/2020,51.76062072,-0.614480194,Muntiacus reevesi
65224027,19/11/2020,52.2209981,0.092982296,Muntiacus reevesi
65532402,24/11/2020,52.22993249,0.085945353,Muntiacus reevesi
65576791,25/11/2020,51.73827833,-1.252111667,Muntiacus reevesi
66252396,06/12/2020,52.71122167,1.577903333,Muntiacus reevesi
66742812,18/12/2020,51.69255522,-0.285597257,Muntiacus reevesi
66858349,24/06/2019,52.80843895,0.575065494,Muntiacus reevesi
67083434,26/12/2020,51.76074872,-0.724897329,Muntiacus reevesi
67087214,26/12/2020,51.18186695,-1.235968536,Muntiacus reevesi
67192023,28/12/2020,52.11271992,-2.451911126,Muntiacus reevesi
67457263,01/01/2021,52.08411837,-2.492665975,Muntiacus reevesi
67749688,06/01/2021,51.425975,-0.569528333,Muntiacus reevesi
67749736,07/01/2021,51.425975,-0.569528333,Muntiacus reevesi
67907127,04/01/2021,51.70354401,-1.362583302,Muntiacus reevesi
68049029,14/01/2021,52.00829722,-0.532475,Muntiacus reevesi
68049271,14/01/2021,52.00835,-0.53263,Muntiacus reevesi
